window,sigma,seed,terms,n_terms,coef,coef_rel_error,kept_true_term,right_term_set,recovered
11,0.001,2,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x|(u_x)^2,8,0.0,1.0,False,False,False
11,0.001,3,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x|(u_x)^2,8,0.0,1.0,False,False,False
11,0.001,4,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x|(u_x)^2,8,0.0,1.0,False,False,False
11,0.01,0,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
11,0.01,1,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
11,0.01,2,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
11,0.01,3,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
11,0.01,4,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
21,0.0,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191986618293,0.008860601003627955,True,False,False
21,0.0,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191986618293,0.008860601003627955,True,False,False
21,0.0,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191986618293,0.008860601003627955,True,False,False
21,0.0,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191986618293,0.008860601003627955,True,False,False
21,0.0,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191986618293,0.008860601003627955,True,False,False
21,1e-09,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191811578644,0.008860614131601663,True,False,False
21,1e-09,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215192425062083,0.008860568120343693,True,False,False
21,1e-09,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215192024571718,0.008860598157121091,True,False,False
21,1e-09,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191859737287,0.008860610519703382,True,False,False
21,1e-09,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191830716038,0.008860612696297121,True,False,False
21,2e-09,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191631356678,0.00886062764824913,True,False,False
21,2e-09,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215192858320717,0.008860535625946186,True,False,False
21,2e-09,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215192057466474,0.008860595690014406,True,False,False
21,2e-09,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.321519172781505,0.0088606204138712,True,False,False
21,2e-09,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.321519166956876,0.008860624782342952,True,False,False
21,5e-09,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191059593878,0.00886067053045908,True,False,False
21,5e-09,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215194126991872,0.008860440475609577,True,False,False
21,5e-09,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.321519212579996,0.00886059056500299,True,False,False
21,5e-09,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191301802252,0.008860652364831079,True,False,False
21,5e-09,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191154657955,0.008860663400653335,True,False,False
21,1e-08,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215190003004054,0.00886074977469592,True,False,False
21,1e-08,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215196137755996,0.00886028966830027,True,False,False
21,1e-08,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215192138519822,0.00886058961101327,True,False,False
21,1e-08,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.321519049095953,0.008860713178035218,True,False,False
21,1e-08,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215190191578523,0.008860735631610717,True,False,False
21,2e-08,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215187501127421,0.00886093741544336,True,False,False
21,2e-08,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215199770455854,0.008860017215810867,True,False,False
21,2e-08,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215191784571316,0.008860616157151224,True,False,False
21,2e-08,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215188491193004,0.008860863160524646,True,False,False
21,2e-08,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215187872059473,0.008860909595539479,True,False,False
21,5e-08,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215176885935869,0.008861733554809792,True,False,False
21,5e-08,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215207557914084,0.008859433156443663,True,False,False
21,5e-08,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215187687633259,0.008860923427505552,True,False,False
21,5e-08,3,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215179467253226,0.008861539956007969,True,False,False
21,5e-08,4,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215177766640198,0.008861667501985082,True,False,False
21,1e-07,0,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215148828809355,0.008863837839298283,True,False,False
21,1e-07,1,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215210168140232,0.008859237389482522,True,False,False
21,1e-07,2,u^2|u^3|u_x|u_xx|u*u_x|u^2*u_x,6,1.3215170742448115,0.008862194316391347,True,False,False
