n_train,seed,model,fit_seconds,n_parameters,auc,balanced_accuracy,accuracy
3000,2,logistic regression,0.01020010000502225,8,0.5355187425063502,0.5,0.85098
3000,2,gradient boosting,0.44838879999588244,7994,0.5528671755376803,0.5105122714841069,0.83863
3000,2,hyperdimensional,0.6347786999976961,730000,0.5520819036696286,0.5360036370423851,0.536735
3000,3,majority class,0.00023039999359752983,1,0.5,0.5,0.85098
3000,3,logistic regression,0.0060172999947099015,8,0.5372536417777025,0.5,0.85098
3000,3,gradient boosting,0.4778392000007443,8370,0.5494703440575839,0.5066306190014233,0.840055
3000,3,hyperdimensional,0.54964930001006,730000,0.5499205920185197,0.533029361280289,0.53351
3000,4,majority class,0.0004423000063979998,1,0.5,0.5,0.85098
3000,4,logistic regression,0.008595199993578717,8,0.5464033585864777,0.5,0.85098
3000,4,gradient boosting,0.3932096999924397,7922,0.5534202139927257,0.5078203401095671,0.83923
3000,4,hyperdimensional,0.5378051000006963,730000,0.5527303131333506,0.5389363019416182,0.53174
10000,0,majority class,0.0004760000010719523,1,0.5,0.5,0.85098
10000,0,logistic regression,0.008987099994556047,8,0.5374118751113036,0.5,0.85098
10000,0,gradient boosting,0.553264100002707,9750,0.5758307269136698,0.5087459886104646,0.84667
10000,0,hyperdimensional,1.6350528000039048,730000,0.5583728467383886,0.5416236517683786,0.55704
10000,1,majority class,0.0005655000131810084,1,0.5,0.5,0.85098
10000,1,logistic regression,0.024099500005831942,8,0.5432428024933171,0.5,0.85098
10000,1,gradient boosting,1.6393494000076316,9766,0.5756845704138457,0.5092703830277088,0.847115
10000,1,hyperdimensional,2.5290682000049856,730000,0.5584338025164725,0.5420652147983054,0.542765
10000,2,majority class,0.0003448000061325729,1,0.5,0.5,0.85098
10000,2,logistic regression,0.028850700007751584,8,0.5396368821049851,0.5,0.85098
10000,2,gradient boosting,0.7946094999933848,9932,0.5690445133057122,0.5084605629151719,0.84788
10000,2,hyperdimensional,2.5570086000079755,730000,0.5533684313643721,0.5358460258845494,0.54756
10000,3,majority class,0.0003693999897222966,1,0.5,0.5,0.85098
10000,3,logistic regression,0.013328700006240979,8,0.5418003786654759,0.5,0.85098
10000,3,gradient boosting,1.34566530000302,10244,0.5774472623712743,0.5107639333013827,0.84676
10000,3,hyperdimensional,2.3805508999939775,730000,0.5617934689501757,0.5436168012961973,0.566815
10000,4,majority class,0.0006377999961841851,1,0.5,0.5,0.85098
10000,4,logistic regression,0.014776199997868389,8,0.5401513167814646,0.5,0.85098
10000,4,gradient boosting,0.3347987000015564,10216,0.5770036233521525,0.5097361750329026,0.846895
10000,4,hyperdimensional,1.7215981999906944,730000,0.562613360582203,0.5439787333194717,0.551745
30000,0,majority class,0.00034699999378062785,1,0.5,0.5,0.85098
30000,0,logistic regression,0.028754300001310185,8,0.5422124003721144,0.5,0.85098
30000,0,gradient boosting,0.5860145000042394,11200,0.6009930606536775,0.5095737520670548,0.84928
30000,0,hyperdimensional,5.012013300001854,730000,0.5596730887168169,0.5417881364307271,0.543
30000,1,majority class,0.0004596999933710322,1,0.5,0.5,0.85098
30000,1,logistic regression,0.02083670000138227,8,0.5409797700330494,0.5,0.85098
30000,1,gradient boosting,0.6652484000078402,12002,0.6033184686987031,0.5097577512841195,0.84997
30000,1,hyperdimensional,5.662364999996498,730000,0.5635580505003525,0.5443666208754766,0.562415
30000,2,majority class,0.0004967999993823469,1,0.5,0.5,0.85098
30000,2,logistic regression,0.023280900000827387,8,0.5448563719704421,0.5,0.85098
30000,2,gradient boosting,0.5948952000035206,11488,0.6045548542706802,0.5089470807069907,0.85071
