kind,surrogate,buy_and_hold,best_return,best_excess,median_excess,n_beating
block,6,32.714935415536,21.107463332126212,-0.3442827915980824,-0.7195803462799739,0
block,7,9.00286905256223,9.76386751668885,0.07607801922906199,-0.8175760084917556,2
block,8,0.38395815621787466,4.485588481778972,2.963695330767922,-0.039829441117649744,668
block,9,-0.6294161288941387,1.3049055390254467,5.219659620229465,0.08091175493275493,742
block,10,43.81359669774325,48.20109986579451,0.09790562443902684,-0.8291797274367904,1
block,11,36.21263408276643,43.92187324982433,0.20716725265702518,-0.7600375150075567,2
block,12,-0.1283149844671222,16.6602959531784,19.259951288003183,1.6891004164444665,1387
block,13,1915.624647203115,428.4069907670083,-0.7759566582879794,-0.9269940334309927,0
block,14,0.5069864496240362,2.1856720643495002,1.1139354405902346,-0.5526003195696001,65
block,15,3.8840622244060254,8.339479139100122,0.9122359032262211,-0.3124925426280508,246
block,16,-0.30768465397087474,4.504433618181603,6.950760660951802,0.24070955621866208,931
block,17,47.87158633180635,180.62063527833536,2.7162827915027994,-0.1894063430622951,478
block,18,0.949393651737324,13.327845582881341,6.349898554410591,-0.4352060191507166,315
block,19,26.65228077524005,80.25435611669529,1.9384323404328634,-0.19475227187811867,489
block,20,13.099546038392381,61.620044372017446,3.4412808895765936,0.22271246438729497,945
block,21,0.06269462001931347,3.6463992478009084,3.3722807665258197,0.1971414573863619,1014
block,22,37.19366811028213,75.14924861703417,0.9937663069479834,-0.21370156787412953,392
block,23,3.9516638467658494,22.68981795479323,3.7842136881456723,-0.5444909070020938,142
block,24,3.3743874549548014,26.97334646039712,5.394803100651759,-0.05754735650016085,638
block,25,24.859223617900284,45.54743659784535,0.8000322548595102,-0.8162387633317262,7
block,26,-0.5015828217465328,5.4069604300979455,11.854613985314371,-0.23838454820957483,581
block,27,-0.5511035617432409,1.7537845411810258,5.134565361835017,-0.1903467466140326,396
block,28,4.1817586275215035,12.136176807999234,1.5350808002190606,-0.47287169672101387,79
block,29,43.40568790898424,95.69839948803482,1.1776129149543166,-0.8436643982503074,45
block,30,0.015817787156889862,12.818780338055351,12.60360146550681,0.023785268970139994,722
block,31,11.857633420557853,14.175314344421109,0.18025719415499553,-0.8732633462624517,1
block,32,14.237936210858711,54.69234708528628,2.6548484200635607,0.20746410039532714,901
block,33,3.1511197274783944,50.57217209078253,11.423677339248933,1.732713772019045,1318
block,34,-0.7786843476198881,1.6416557784295125,10.93614527495074,-0.1426359530082164,515
block,35,198.79595072632836,121.78105414835058,-0.38546775496701324,-0.8852555579580224,0
block,36,15.530211411808175,111.33456068485143,5.795712280159131,-0.7070643605782285,14
block,37,-0.6653839920659814,7.804450626694868,25.312102284212827,2.184540913855842,1403
block,38,-0.22673321216166276,5.924915942451883,7.955403298530957,0.9078722339791672,1365
block,39,52.322699171901135,32.143654810074565,-0.3784325376473082,-0.8221012838577844,0
block,40,3.2374522439302718,16.753575268588833,3.189681498834367,0.2779067718988899,1054
block,41,17.12466083717135,10.645449524831411,-0.35748041690534205,-0.8174486831289987,0
block,42,22.154703910950037,34.61011469305523,0.53792140162997,-0.7983243285779799,33
block,43,2.2597680961296995,2.717848723749301,0.14052552639050542,-0.7964750480922401,3
block,44,2.1753239636275907,18.285084338726158,5.073422604947139,1.9066557848255474,1388
block,45,293.0816730129802,231.97668688600777,-0.20778236705785946,-0.8481366272043265,0
block,46,169.4834239152859,95.16383117581236,-0.4359344212631683,-0.874859497895717,0
block,47,1.735762106842846,58.330244152989685,20.68691641886166,2.0746683005783995,1236
block,48,2.8856115182161703,7.8485668351904305,1.277264928237778,-0.5068753371811754,23
block,49,0.3403614382152065,17.27944083633649,12.637695262762081,3.1663481418293182,1292
block,50,11.08462900996072,13.107709577190395,0.1674094062434317,-0.6521517532257994,7
block,51,0.5848112639863421,38.96611475664706,24.21821725075238,4.16983553914014,1410
block,52,21.93053000117022,60.71317371519232,1.6913103932636053,-0.30921862260237337,263
block,53,65.86906970355828,148.96295139354726,1.2426355272827632,-0.9176440418653155,23
block,54,5.404636175795037,11.271455285573607,0.916026913745853,-0.4453592320530825,126
block,55,3.093281868101042,27.50758454649363,5.96448118285069,0.6051953440729023,1281
block,56,3.964731283945328,7.195172966097715,0.6506780523245659,-0.43040376467706903,39
block,57,119.73047086301469,128.63977544701052,0.0737949957480466,-0.7273299812070863,2
block,58,13.412971255965068,14.852477520766428,0.09987574659219511,-0.9033326096518872,1
block,59,15.557930555321885,27.43229248775552,0.7171404598394753,-0.8704161010893936,38
block,60,1.174708743141081,6.786558899104827,2.580506549975132,0.30614150234836834,969
block,61,13.86795617496522,24.460724190305786,0.7124562307478919,-0.31462454470726375,132
block,62,25.602945687221425,36.30280636808493,0.402205861210442,-0.8794480722054853,3
block,63,-0.7168201795732083,-0.19746870459843846,1.8339988852031701,-0.44616819272443115,195
block,64,3.4968079805588212,8.242537049222856,1.0553550627870658,-0.7558902594221479,12
block,65,1.0602091113327576,4.788683996918485,1.8097555559172158,-0.4653892461818197,88
block,66,9.234208605026128,13.716940415538478,0.43801450444451895,-0.9171288269096465,10
block,67,29.586784667270628,37.0753901201987,0.2448314046210045,-0.6711437152168948,4
block,68,10.107842377756322,8.992652923317513,-0.10039658616978564,-0.7467356403290166,0
block,69,-0.6876511873635839,1.3838821867081328,6.632115411570483,0.020532419152667458,743
block,70,3.2222730651371023,9.423578567577911,1.4687125647188441,-0.7239087350688549,60
block,71,5.921253761175457,34.544747603766396,4.135593756604255,0.09477511115441495,776
block,72,59.377717431899804,51.68666759034751,-0.1273822557175509,-0.7997787170623533,0
block,73,6.090084904936834,25.154522914793116,2.688887124127624,-0.43526517645602925,207
block,74,10.691104175159701,16.110531227215375,0.4635513438987593,-0.6372232741376983,3
block,75,4.735137166209309,16.07515284703586,1.977287613562316,0.04560697117760082,785
block,76,1.2516119340280407,13.684904631464454,5.521951855706221,-0.31024325201311664,266
block,77,70.85205499516285,59.50143740792539,-0.15797206618518556,-0.7899369117904098,0
block,78,55.01526078560479,24.578201842642482,-0.543370833520858,-0.9289243976718167,0
block,79,37.41089410366715,82.5714025878401,1.1757213555687946,-0.613452970440588,45
block,80,38.97605274179253,113.99143278848956,1.8765079316666253,-0.4419438692351956,171
block,81,322.2740614062603,303.8849045312367,-0.056884108780734466,-0.6580900759042592,0
block,82,19.170553951844003,14.584809658437829,-0.22734845579126706,-0.7554186291402294,0
block,83,107.16313487239842,359.73712260727086,2.3351208157274432,-0.7638859143116538,85
block,84,36.551799937545525,98.22941408875151,1.6424675848770347,-0.28655034997923284,294
block,85,58.82203068183133,41.05013733513894,-0.29707940610063455,-0.9132715003027609,0
block,86,2.5611979907921785,4.194749554947275,0.4587084369863179,-0.38558596674506995,148
block,87,50.72202802657149,26.629323397876732,-0.46581129062297133,-0.8542868053830588,0
block,88,75.99479961608218,288.05582630121256,2.754225320963579,-0.9074308295739322,11
block,89,23.257320184729437,60.08106433379571,1.5180466708044569,-0.4754837495052526,187
block,90,462.26825583394293,147.33687102530766,-0.679803506591916,-0.8403710824630549,0
block,91,38.93046066989377,111.42087143284475,1.815416339977423,-0.7809710108606884,104
block,92,42.38828882801314,27.142051948061464,-0.3513906008228681,-0.8229773365788431,0
block,93,74.06065230505938,42.214833208832545,-0.4242678170021752,-0.8417395498452676,0
block,94,1.8198631481542868,18.755732620969045,6.005918934009249,-0.688404441848876,197
block,95,5.0663731449235,9.623636068492155,0.7512335319139232,-0.4445695699773679,113
block,96,0.6589631738318651,7.659221870293154,4.2196588850686325,0.04837051581428098,768
block,97,28.752823719609665,20.272837438739167,-0.28501450352362556,-0.7066460095456356,0
block,98,5.431257188994461,14.937700393516474,1.4781624999836716,-0.6687727513866196,41
block,99,2.882479784181495,8.145012800393047,1.3554566433682025,-0.17428178932550864,479
block,100,7.858599074203001,32.15476717467168,2.7426648273564163,-0.33191687556063326,196
block,101,-0.18420229284750522,3.029985302760293,3.9399321270793664,-0.33602372959783744,352
block,102,23.32563292589865,21.932586964631977,-0.05726658646499372,-0.9044815531587556,0
block,103,0.6262592407063257,10.424911780056695,6.02527093718131,-0.7820640584847357,214
block,104,9.387402845796112,19.96251182723585,1.018070555116633,-0.27961095749025366,381
block,105,21.064005506033133,55.07716165427747,1.541567606069707,-0.3369864128261349,254
block,106,60.14401848189647,36.15900596511145,-0.3922707913593626,-0.8552069222035036,0
block,107,2.6082880864342237,10.37535524005649,2.152562923903846,-0.3415966450024233,288
block,108,1.293953198000442,8.456350561776443,3.1222944609415793,0.28512856554439037,1013
block,109,35.929242557353106,116.30755372395049,2.1765491410165136,-0.47432668219307383,292
block,110,4.703946461904868,19.611999296799258,2.613638282627876,-0.21889970043074952,462
block,111,4.49819116259403,6.321009512929639,0.3315305518543683,-0.7328923876393596,3
block,112,-0.8789478517147059,22.588445720572086,193.86185131534512,14.397421894075354,1412
block,113,-0.7002543040873701,3.3561470579322705,13.532809369186083,3.054967357453326,1410
block,114,7.881168772071982,21.903472555829822,1.5788804540966321,-0.1701422479186268,456
block,115,0.7436185113851206,21.350107937768186,11.818232768137674,2.35903631902252,1334
block,116,5.389362391640086,8.485694109634482,0.4846073094939287,-0.662980516159335,7
block,117,22.885419467790545,13.81996380272231,-0.379539311725004,-0.8390068059659113,0
block,118,6.988673273214182,12.62339648951309,0.7053390498760277,-0.6591173035202708,33
block,119,0.16581137403564772,8.630784433817755,7.261014301549668,0.20163050871342114,836
block,120,2.1265207384067484,17.02244518561366,4.764377304209971,0.7565559437297958,1145
block,121,22.531165892705936,14.785881215463954,-0.3291500605009471,-0.8461707163074423,0
