fast,slow,dev_return,holdout_return,dev_excess,holdout_excess,dev_trades,dev_exposure
4,140,5.505721713624445,-0.003280532059141361,-0.34335215408837283,-0.33144188588295553,25.0,0.46692439862542956
4,145,4.810629756801211,-0.03357460434961179,-0.4135104941235155,-0.351761894160996,25.0,0.4647766323024055
4,150,4.819472302298888,-0.028089330680168056,-0.4126179815462766,-0.3480825998983532,29.0,0.46048109965635736
4,155,7.847671267717727,0.051864583897506256,-0.10697005881545718,-0.2944528273639043,21.0,0.4583333333333333
4,160,6.6733891134414565,0.05030600217405801,-0.22549493292483425,-0.2954982593949236,21.0,0.45446735395189003
4,165,3.671819087717462,-0.17864516731276048,-0.5284550929969911,-0.449069215938216,25.0,0.4527491408934708
4,170,4.768386390789502,-0.14405066714935444,-0.41777428168109776,-0.42586465885672353,23.0,0.4484536082474227
4,175,5.54252890441876,-0.11250139265039472,-0.3396370608807231,-0.4047027129539702,23.0,0.4484536082474227
4,180,5.784526666447023,0.032727521416686445,-0.31521128367317575,-0.3072891758184487,25.0,0.44587628865979384
4,185,5.112407304304414,-0.03649815333951556,-0.3830509102010311,-0.35372288966884624,25.0,0.44458762886597936
4,190,5.968491208744241,0.03270204990315473,-0.29664302549351773,-0.3073062610541627,25.0,0.4424398625429553
4,195,4.4845469063664805,-0.0035544712956724345,-0.44642330699072896,-0.33162563297052494,25.0,0.44501718213058417
4,200,4.282024027254997,0.01621370677128664,-0.4668647304284812,-0.3183659583348126,25.0,0.44458762886597936
5,10,2.1155265901300666,0.21599661099396794,-0.6855377597838328,-0.18435986537078197,272.0,0.5262027491408935
5,15,7.3670834355076344,0.8732476809689893,-0.15547766161242382,0.25649691527552787,164.0,0.5343642611683849
5,20,8.693428264064096,0.3649775864842808,-0.021604509186663012,-0.08442960092145635,126.0,0.5412371134020618
5,25,13.141047857818762,0.4269539187804263,0.42731106916602335,-0.042858445573800474,106.0,0.531786941580756
5,30,12.31310891959714,0.30508323476065935,0.3437439655822607,-0.12460424998026576,104.0,0.5231958762886598
5,35,20.642274349967767,0.700580525869138,1.1844390919416403,0.14067894312133955,93.0,0.511168384879725
5,40,18.022419367877244,0.8263096517921147,0.9200069187996747,0.22501283045907283,73.0,0.5120274914089347
5,45,22.233491533108108,0.5639533865063999,1.3450468433458362,0.049035119991982734,77.0,0.5042955326460481
5,50,23.717647820378268,0.37356397517828466,1.4948485213043603,-0.07867020721341678,65.0,0.502147766323024
5,55,21.10296676953655,0.13000137525086575,1.2309385732065903,-0.2420419057850568,59.0,0.4952749140893471
5,60,12.766073753247381,0.24333459497223853,0.38946347148538707,-0.16602267862952824,63.0,0.49140893470790376
5,65,15.334673303137542,0.07880151652198619,0.648722234108555,-0.27638464925083395,53.0,0.49226804123711343
5,70,13.03569774916257,0.13349047573882844,0.41667767214094464,-0.23970156176928636,55.0,0.48711340206185566
5,75,10.730923694207467,0.10878148113731911,0.1840478448721541,-0.25627533138436276,67.0,0.49054982817869414
5,80,10.189639890157064,0.13009514490263108,0.12941396109993675,-0.24197900898855373,51.0,0.49312714776632305
5,85,11.492818970225795,0.06656056998658522,0.2609489042519222,-0.28459536891062176,43.0,0.49054982817869414
5,90,13.025358934946944,0.1653335401134841,0.41563413533091564,-0.21834255379284073,49.0,0.4952749140893471
5,95,15.898139171041827,0.20142499927417612,0.7055950400309499,-0.1941338986513358,33.0,0.4944158075601375
5,100,15.89401540690788,0.17291915443476746,0.7051788124462481,-0.2132544380610054,31.0,0.4948453608247423
5,105,12.021325895683667,0.2793882629506026,0.31429316787520345,-0.14183937224702725,33.0,0.49398625429553267
5,110,9.329967865066864,0.22604848771891817,0.04264391339196738,-0.1776174830227646,25.0,0.48668384879725085
5,115,7.1671548182957725,0.10638731775095023,-0.17565723608658612,-0.25788123696759135,25.0,0.48152920962199314
5,120,6.449444115146574,0.1468134997266184,-0.24809857433560278,-0.23076502939672772,25.0,0.47766323024054985
5,125,6.195833177196419,0.061814616180875026,-0.27369651464648925,-0.2877787580467718,23.0,0.4729381443298969
5,130,5.97102508237982,0.09183059704797003,-0.2963872717527558,-0.26764528197116544,23.0,0.47036082474226804
5,135,5.011799830914901,0.12125277855917682,-0.3932056145661875,-0.2479101018958938,25.0,0.4695017182130584
5,140,4.875230502191356,-0.007641498285143489,-0.4069900891366425,-0.33436704130487926,25.0,0.46606529209621994
5,145,4.279902553162628,0.0037067066636047308,-0.4670788590761905,-0.3267551357053802,25.0,0.4630584192439863
5,150,5.764921960218342,0.02628666402821045,-0.3171900630740583,-0.31160943603954416,23.0,0.4587628865979381
5,155,5.987029580810863,-0.016467089119520106,-0.29477187535520755,-0.3402868818959227,17.0,0.4579037800687285
5,160,3.932858876398668,-0.05968994149921303,-0.5021073298309512,-0.36927898007719506,21.0,0.45618556701030927
5,165,2.832795686322283,-0.09478419247010939,-0.6131409946459645,-0.3928187492902159,25.0,0.45146048109965636
5,170,3.895430235092334,-0.12620267448314115,-0.5058851484606248,-0.4138929650135704,23.0,0.4493127147766323
5,175,6.46624392745466,-0.026356886398229196,-0.24640290380903818,-0.3469205480681239,23.0,0.4480240549828179
5,180,7.84809514789076,-0.03056423488734772,-0.1069272749376956,-0.34974266307820734,21.0,0.4480240549828179
5,185,5.824145670103813,-0.054633592988570734,-0.31121238323544065,-0.3658873910360205,19.0,0.44458762886597936
5,190,5.834810520844775,0.008784858995198652,-0.3101359382883173,-0.32334892156468176,23.0,0.4428694158075601
5,195,4.262263874370467,0.03709306307689286,-0.46885919966612744,-0.30436095138487096,25.0,0.44501718213058417
5,200,3.8939119287246253,0.0840402305087915,-0.5060383970392879,-0.27287073700564346,25.0,0.44372852233676974
6,10,3.755959422365459,0.027509624241089048,-0.5199624811188679,-0.31078912500934885,282.0,0.538659793814433
6,15,4.069785958362346,0.5798367497169727,-0.48828674583177445,0.059689021812356025,172.0,0.5326460481099656
6,20,7.913683761391656,0.6112211923771469,-0.10030716057259781,0.08074040534843596,125.0,0.5442439862542955
6,25,11.193782911371661,0.6104472827320093,0.23076602946260483,0.08022129883000995,106.0,0.5335051546391752
6,30,16.06002035282717,0.3065345806174786,0.7219343385733945,-0.12363074732462764,93.0,0.5214776632302406
6,35,21.962906097828682,0.6593266243632709,1.3177356008684344,0.11300753559108223,77.0,0.5133161512027491
6,40,26.62340097975798,0.7275560107162404,1.7881375116498428,0.15877298046770538,69.0,0.509020618556701
6,45,26.047804072939126,0.36363298367127395,1.7300402726941009,-0.08533150476683571,77.0,0.5025773195876289
6,50,18.942037649095784,0.24794270226424264,1.012827575754379,-0.1629317512222851,63.0,0.5004295532646048
6,55,19.827633400385384,0.19352596158507618,1.1022142061746387,-0.19943224578974794,57.0,0.49699312714776633
6,60,17.91101046407923,0.17625094937998287,0.9087619839692873,-0.21101960808442255,53.0,0.4888316151202749
6,65,20.510861490691518,0.12066100522028567,1.1711750799277048,-0.2483070389279869,49.0,0.4884020618556701
6,70,13.060171848043613,-0.030499194263079454,0.4191479383186707,-0.3496990365227919,55.0,0.48582474226804123
6,75,13.41629437448819,0.01447040830802604,0.45509277275275206,-0.31953529070006537,55.0,0.4888316151202749
6,80,9.33308229397748,0.04750305815942313,0.04295826483911225,-0.29737835808334523,47.0,0.49097938144329895
6,85,10.575749031907932,0.0780470370004207,0.16838546147729372,-0.27689072284757,41.0,0.49054982817869414
6,90,16.214082997605804,0.04007121165424943,0.7374844817062427,-0.3023633327364149,43.0,0.49312714776632305
6,95,16.153090722510875,0.08738332317867159,0.7313282936887842,-0.2706283289835437,33.0,0.4957044673539519
6,100,15.216418520331462,0.06362233335705203,0.6367863180309059,-0.2865662162784659,31.0,0.4957044673539519
6,105,14.184253941525785,0.1840092200434722,0.5326059246581569,-0.20581568163327413,27.0,0.49269759450171824
6,110,9.267976536211663,0.2256133683854935,0.0363868869850863,-0.1779093430398777,25.0,0.48582474226804123
6,115,6.040216194097611,0.10122594389305939,-0.28940354320338235,-0.26134327265935264,25.0,0.48281786941580757
6,120,5.1460193336042135,0.10586364437868645,-0.3796583170948413,-0.25823249536419646,23.0,0.47723367697594504
6,125,6.12270627515915,0.041611793364997984,-0.2810774978509202,-0.30132997436797737,19.0,0.47121993127147765
6,130,5.688058953687591,0.1426104124487222,-0.3249481458649359,-0.23358428616291171,23.0,0.47079037800687284
6,135,4.115831538177597,0.05012945986543493,-0.4836391860174474,-0.2956166766594712,23.0,0.4690721649484536
6,140,3.999709192189858,-0.0670292477987382,-0.49535986693673195,-0.37420188259526754,23.0,0.4652061855670103
6,145,5.113052257509586,0.019917415743743616,-0.38298581256059516,-0.31588166384121785,23.0,0.46262886597938147
6,150,4.6917076524497565,0.029567131815030567,-0.42551376556534826,-0.309409034193768,23.0,0.46048109965635736
6,155,4.008940625902604,0.0486773969735006,-0.49442810235641554,-0.2965906602725499,17.0,0.4587628865979381
6,160,3.813766883314413,0.013280625503729215,-0.5141277488046565,-0.3203333476994865,19.0,0.45532646048109965
6,165,3.0257813194138095,-0.06561751620607492,-0.5936622026164723,-0.37325495154637345,23.0,0.452319587628866
6,170,5.8422259708382285,-0.04942067916671533,-0.30938746802183337,-0.36239078447229567,23.0,0.4497422680412371
6,175,7.5200836594312666,-0.06670712347635088,-0.1400347527568162,-0.37398581494894023,23.0,0.44673539518900346
6,180,7.031236287061116,-0.0046530219718212695,-0.1893760231302739,-0.3323624952391284,19.0,0.4475945017182131
6,185,6.593160641331756,0.018455018494402786,-0.2335927052721033,-0.31686257931297956,17.0,0.44630584192439865
6,190,6.835630602628478,0.0035411869952846065,-0.20911926715218943,-0.32686615943960096,21.0,0.44458762886597936
6,195,4.700268555288104,0.03129295377198682,-0.4246496802793013,-0.30825142434470165,21.0,0.44716494845360827
6,200,4.178843190401598,-0.0028131949966347936,-0.4772791743966658,-0.33112841554830674,23.0,0.44372852233676974
7,10,5.055803866322446,0.03395667033929617,-0.3887641157850038,-0.3064647136582316,280.0,0.5455326460481099
7,15,2.5827813440381195,0.40994974326577016,-0.6383759165400407,-0.05426414184025308,170.0,0.5369415807560137
7,20,6.595751157788344,0.5433125657288318,-0.23333123435067504,0.03519011278911588,129.0,0.5446735395189003
7,25,11.48226853070277,0.3925537416792626,0.2598840072748956,-0.06593265879806853,104.0,0.5356529209621993
7,30,16.09790387824898,0.30244019958086676,0.7257580704295659,-0.12637708844904538,87.0,0.5240549828178694
7,35,19.933108356378966,0.9084573720589899,1.1128602045280207,0.28011411693649846,77.0,0.5120274914089347
7,40,23.410831987101986,0.5763604925030283,1.4638804035641675,0.057357292532560056,65.0,0.506872852233677
7,45,32.36027248037658,0.2748733793993554,2.3671823092875655,-0.14486776903224885,65.0,0.502147766323024
7,50,24.961557587575562,0.08116434818826246,1.620401181730636,-0.27479975968702797,57.0,0.5
7,55,13.5358219529831,-0.044331459129052675,0.4671571570594686,-0.3589771465730224,57.0,0.4944158075601375
7,60,13.334054259178709,0.00828786893281297,0.446791957417783,-0.3236822819028017,57.0,0.49097938144329895
7,65,18.38908692733596,-0.10004882103154256,0.957016104510771,-0.3963500439581428,51.0,0.4888316151202749
7,70,21.630039746598015,-0.12290182787907222,1.2841381028300023,-0.41167889390170076,49.0,0.48754295532646047
7,75,20.022811511412787,-0.036909764631283815,1.1219142935464732,-0.3539989814658113,47.0,0.49054982817869414
7,80,11.369743962653242,0.05034222641898123,0.24852646410376367,-0.2954739616725953,43.0,0.49097938144329895
7,85,12.00312547072354,-0.059549175431076073,0.3124561280553608,-0.36918456003216493,41.0,0.4892611683848797
7,90,16.185470952448846,-0.007277439392190055,0.7345965564849568,-0.3341228456864237,37.0,0.49312714776632305
7,95,15.349012170937844,-0.04905653252143383,0.6501695119154369,-0.36214652999321506,33.0,0.49355670103092786
7,100,18.094549561170606,0.021218386535253098,0.9272873003063233,-0.31500902654770757,29.0,0.4948453608247423
7,105,7.7641744823672845,0.13035272478760085,-0.11539771475501137,-0.24180623507606502,25.0,0.49312714776632305
7,110,4.743903490607997,0.10686467925929799,-0.42024543620837895,-0.2575610426500946,25.0,0.48711340206185566
7,115,3.34633824120782,0.006526044504760131,-0.5613071432619845,-0.32486404071750385,25.0,0.4832474226804124
7,120,2.5972801634483993,0.01812966007897554,-0.6369124941938183,-0.31708081625489415,23.0,0.4793814432989691
7,125,3.1180346784680006,0.06746912250319959,-0.58435071156788,-0.28398594953373435,19.0,0.47121993127147765
7,130,3.0984767327439595,0.023981560296013615,-0.5863247712487994,-0.3131556040974687,19.0,0.4695017182130584
7,135,4.164449264875324,0.012635944926813636,-0.478732009394395,-0.3207657727143214,23.0,0.4690721649484536
7,140,2.9598491543295733,0.07048340095869543,-0.6003169929817266,-0.2819640964602781,23.0,0.46606529209621994
7,145,1.4400495089410668,-0.009261851197857385,-0.7537162939803594,-0.3354539068898027,23.0,0.46134020618556704
7,150,1.8782749091518736,0.0501825091751269,-0.7094844965351116,-0.2955810933809423,23.0,0.46048109965635736
7,155,2.137343117807038,0.020918749943186432,-0.6833357326245165,-0.315210010356448,17.0,0.4574742268041237
7,160,2.311718490280825,0.12150813880467437,-0.6657353467249545,-0.24773881682557908,17.0,0.45618556701030927
7,165,2.281780573100237,-0.044029988035922285,-0.6687570973766224,-0.35877493225699175,21.0,0.4527491408934708
7,170,3.0293346290157057,-0.0970819235716247,-0.5933035532308006,-0.3943599720930079,23.0,0.4488831615120275
7,175,6.847159083238618,0.006402950535122409,-0.20795565267673022,-0.3249466070512087,19.0,0.44673539518900346
7,180,6.63436487219392,0.05592301379698972,-0.22943380167476335,-0.29173060077242385,19.0,0.4480240549828179
7,185,5.774655472332208,-0.059186808394829815,-0.31620762176407424,-0.36894149924107655,17.0,0.44587628865979384
7,190,5.773665591239029,-0.024341658667575206,-0.3163075343204603,-0.3455688168193044,19.0,0.44501718213058417
7,195,4.463356410678103,0.03941607614402143,-0.4485621463017361,-0.3028027704872537,21.0,0.44501718213058417
7,200,4.003224550918574,-0.014693870689463484,-0.4950050480805882,-0.3390974804568544,21.0,0.44587628865979384
8,10,3.4373831525444984,0.15194590803429486,-0.5521176255509452,-0.22732242259569102,334.0,0.5390893470790378
8,15,3.298260840655373,0.644617777097976,-0.5661597826614966,0.1031414503937731,175.0,0.538659793814433
8,20,5.398331391570072,0.37443056297639377,-0.3541914778026165,-0.07808893603064593,129.0,0.5455326460481099
8,25,17.023471274707425,0.3188168472476194,0.8191791947696463,-0.11539231185763132,98.0,0.5403780068728522
8,30,21.104826005311153,0.1978176179839326,1.231126233118922,-0.19655358052761018,89.0,0.5249140893470791
8,35,30.03501061974787,0.5294613018682921,2.132484567949402,0.02589925900066592,71.0,0.5094501718213058
8,40,26.316273199204026,0.48850623322646336,1.757137907855229,-0.001571703828305071,63.0,0.506872852233677
8,45,38.166236711069246,0.31683823427130875,2.9532009054319595,-0.11671948344658667,61.0,0.5
8,50,18.004111002350484,0.03521014080639606,0.918158984117788,-0.30562393761387785,57.0,0.5008591065292096
8,55,16.606759253148535,-0.051960247042540764,0.7771188264712181,-0.36409422136135505,55.0,0.4952749140893471
8,60,13.28323554868804,-0.1210303405618608,0.44166262692308633,-0.41042357776548266,49.0,0.4884020618556701
8,65,16.88987580291662,-0.07471408721970074,0.8056948831687882,-0.3793565544119877,51.0,0.4879725085910653
8,70,24.90338798531825,-0.06966680988113305,1.614529897082876,-0.37597104993712294,43.0,0.4849656357388316
8,75,20.600948512655478,-0.1040851065120929,1.1802679141313788,-0.3990574169910881,41.0,0.49054982817869414
8,80,11.171593937165605,-0.09419252771676279,0.2285264098236519,-0.3924218850928062,43.0,0.49097938144329895
8,85,11.852068367048556,-0.10730783522479681,0.29720934589895553,-0.4012190898587079,37.0,0.4892611683848797
8,90,13.75241172726259,-0.019544952289730966,0.48901840704642474,-0.34235138496100037,35.0,0.49140893470790376
8,95,14.734224143728438,-0.10853159813828828,0.5881165604475194,-0.4020399393072097,33.0,0.49398625429553267
8,100,9.87730563027615,0.01245616568664043,0.09788884705675649,-0.3208863611784114,29.0,0.4948453608247423
8,105,8.422886556199376,0.0658980875034838,-0.04891133808568904,-0.28503973470639865,25.0,0.4944158075601375
8,110,5.166636977560181,0.04373223583041996,-0.37757729794163863,-0.2999076694352716,25.0,0.48711340206185566
8,115,3.203594413963698,-0.035288534627372026,-0.5757148340306717,-0.35291152756445987,23.0,0.4836769759450172
