model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
catboost,full,0,4,641294,164546,0.0439398338956611,0.8890103924432399,6.653791558067623,208.40378880000208,0.21608519996516407,634.044416,,,2026-08-09T14:47:20,
mlp,full,0,4,641294,164546,0.04919265416319043,0.8742900439149299,7.568410686134475,41.0360424000537,0.1893601999618113,325.341184,53868696000.0,,2026-08-09T14:50:49,
ridge,full,1,0,643696,162144,0.07575065970694062,0.7477645823469322,12.79193466491136,1.2446962000103667,0.1501935999840498,321.830912,52139619.0,,2026-08-09T14:52:15,
random_forest,full,1,0,643696,162144,0.03858221614629342,0.9026923203151502,4.714838212874678,87.9874936999986,1.0753059000708163,2268.065792,,,2026-08-09T14:52:16,
lightgbm,full,1,0,643696,162144,0.047171997639914594,0.9009313570097441,7.713165487031051,2.017299000057392,0.5293783999513835,81.788928,,,2026-08-09T14:53:46,
catboost,full,1,0,643696,162144,0.042219126593423806,0.9164105382233418,6.675097210128804,245.15589589998126,0.24019219994079322,663.056384,,,2026-08-09T14:53:48,
mlp,full,1,0,643696,162144,0.04815856305021011,0.8964127670401056,7.828153377620732,41.23435310006607,0.17923149990383536,316.727296,54070464000.0,,2026-08-09T14:57:54,
ridge,full,1,1,643685,162155,0.077602819200197,0.7349984582060649,13.847822987058652,1.0285808000480756,0.12987239996436983,314.159104,52138728.0,,2026-08-09T14:59:14,
random_forest,full,1,1,643685,162155,0.03848135166763512,0.8982581093115941,4.63035486379167,55.5337770000333,0.6536167999729514,2227.5440639999997,,,2026-08-09T14:59:15,
lightgbm,full,1,1,643685,162155,0.04796847899571739,0.8908719157014666,7.876999390652354,1.3217490001115948,0.3698648000136018,78.81523200000004,,,2026-08-09T15:00:12,
catboost,full,1,1,643685,162155,0.0425158032714191,0.9065451092497686,6.666537324174891,147.13318809994962,0.20128889998886734,677.6750079999999,,,2026-08-09T15:00:13,
mlp,full,1,1,643685,162155,0.05171851609277803,0.8743492809102819,8.297764856261889,34.23940760002006,0.18673259997740388,316.88704,54069540000.0,,2026-08-09T15:02:41,
ridge,full,1,2,644230,161610,0.07748160907545948,0.7487555142962548,13.698781554224343,1.0213427999988198,0.11565169994719326,324.722688,52182873.0,,2026-08-09T15:03:55,
random_forest,full,1,2,644230,161610,0.04083111954925318,0.8880505944517711,4.9948686235300075,56.39632709999569,0.6940290000056848,2270.982144,,,2026-08-09T15:03:56,
lightgbm,full,1,2,644230,161610,0.04797126738909202,0.8889993214410177,7.785191881722745,1.6557959999190643,0.38924100005533546,78.954496,,,2026-08-09T15:04:53,
catboost,full,1,2,644230,161610,0.04428178984976915,0.8980565969988751,6.6518994110268554,137.90287560003344,0.17399229994043708,664.0107519999999,,,2026-08-09T15:04:55,
mlp,full,1,2,644230,161610,0.0494900634920057,0.8831521369375189,7.841828880049113,32.864397799945436,0.15613020001910627,327.364608,54115320000.0,,2026-08-09T15:07:14,
ridge,full,1,3,647685,158155,0.08293078380993216,0.7087059629108163,13.785959503436471,1.058878899901174,0.1074318999890238,326.520832,52462728.0,,2026-08-09T15:08:25,
random_forest,full,1,3,647685,158155,0.04053752916215699,0.8834211909919176,4.76408478462126,54.63980680005625,0.7852099000010639,2249.158656,,,2026-08-09T15:08:27,
lightgbm,full,1,3,647685,158155,0.05062195642069845,0.8740823819531762,7.444560363132665,1.7814837000332773,0.35849389992654324,73.45766400000002,,,2026-08-09T15:09:22,
catboost,full,1,3,647685,158155,0.04621184617237589,0.8855209742231483,6.659597708287729,141.00902510003652,0.17243189993314445,668.38528,,,2026-08-09T15:09:24,
mlp,full,1,3,647685,158155,0.05154556493087189,0.8712167143970507,7.796742408413958,33.33721250004601,0.15191379992756993,253.12051200000002,54405540000.0,,2026-08-09T15:11:46,
ridge,full,1,4,644064,161776,0.07838314536726307,0.7367348220479814,13.166158689572512,1.046007400029339,0.11910330003593117,324.69401600000003,52169427.0,,2026-08-09T15:12:58,
random_forest,full,1,4,644064,161776,0.03790661257770535,0.9019489029656308,4.31726391547989,55.60955519997515,0.6771634999895468,2237.2884480000002,,,2026-08-09T15:12:59,
lightgbm,full,1,4,644064,161776,0.0478333777332941,0.894498322989659,7.8672457150547075,1.4300960999680683,0.4266615000087768,77.32019199999996,,,2026-08-09T15:13:56,
catboost,full,1,4,644064,161776,0.04333418002891003,0.9044973023007499,6.644895373885623,138.8792695000302,0.1695033999858424,657.4530559999998,,,2026-08-09T15:13:58,
mlp,full,1,4,644064,161776,0.04919518513440889,0.887119169761877,7.641060591008861,33.2364684001077,0.1671175000956282,272.625664,54101376000.0,,2026-08-09T15:16:17,
ridge,full,2,0,644929,160911,0.07657502602854603,0.7461564427868608,13.278911443747853,0.9894997000228614,0.14076430001296103,314.89228800000006,52239492.0,,2026-08-09T15:17:30,
random_forest,full,2,0,644929,160911,0.03842103804731077,0.9004287664213522,4.462501948350154,55.874454400036484,0.6811367999762297,2283.66336,,,2026-08-09T15:17:31,
lightgbm,full,2,0,644929,160911,0.04675497056755138,0.8967961439200773,7.438153250720532,1.5897494000382721,0.39145569992251694,80.543744,,,2026-08-09T15:18:28,
catboost,full,2,0,644929,160911,0.04153589599246856,0.9138102150460363,6.417678953977971,140.70322500006296,0.17276929994113743,657.2032000000002,,,2026-08-09T15:18:30,
mlp,full,2,0,644929,160911,0.049426561135448195,0.8844381794574119,7.805458188851085,33.19295170006808,0.19682989991270006,317.104128,54174036000.0,,2026-08-09T15:20:51,
ridge,full,2,1,648958,156882,0.08089199650376207,0.7168380014983536,13.656685647086203,1.0935455999569967,0.1097101999912411,327.10246399999994,52565841.0,,2026-08-09T15:22:03,
random_forest,full,2,1,648958,156882,0.042097553615604716,0.8660662632450019,4.9873648012300045,71.06270939996466,1.0147032000822946,2256.912384,,,2026-08-09T15:22:04,
lightgbm,full,2,1,648958,156882,0.05128109942234567,0.8669992023606212,8.01780004267897,3.355493300012313,0.5280296000419185,77.74617600000005,,,2026-08-09T15:23:16,
catboost,full,2,1,648958,156882,0.04641087468413151,0.8809568151177852,6.974836433645285,192.23717229999602,0.22574659995734692,657.1376640000001,,,2026-08-09T15:23:20,
mlp,full,2,1,648958,156882,0.0541982108107049,0.8588952547227052,8.625276091195863,39.53321150003467,0.1876744000473991,329.859072,54512472000.0,,2026-08-09T15:26:33,
ridge,full,2,2,641984,163856,0.07819270714371919,0.7375023710116342,13.212627749240669,1.0470171999186277,0.11432609998155385,323.64544000000006,52000947.0,,2026-08-09T15:27:57,
random_forest,full,2,2,641984,163856,0.03883378655313656,0.9028225032480837,4.690194868655671,76.7150078000268,0.7396165999816731,2283.1349760000003,,,2026-08-09T15:27:58,
lightgbm,full,2,2,641984,163856,0.04773056268683398,0.8992466240691307,7.847968766997421,1.5139141000108793,0.5121782999485731,76.89420799999999,,,2026-08-09T15:29:16,
catboost,full,2,2,641984,163856,0.043015543532566536,0.9118708104031255,6.838846510311488,182.6664663000265,0.2138544999761507,677.900288,,,2026-08-09T15:29:18,
mlp,full,2,2,641984,163856,0.04902663301534602,0.8936091961325554,8.121120581262147,46.51052270003129,0.19626490003429353,325.82041599999997,53926656000.0,,2026-08-09T15:32:21,
ridge,full,2,3,643999,161841,0.07796830257893911,0.7344972470165745,13.43476130665773,1.0806439999723807,0.13689439999870956,314.384384,52164162.0,,2026-08-09T15:33:54,
random_forest,full,2,3,643999,161841,0.03791290397798046,0.9028647045494654,4.346866642001121,86.39092430006713,1.082434199983254,2279.395328,,,2026-08-09T15:33:55,
lightgbm,full,2,3,643999,161841,0.0485815810107675,0.8844196803628103,7.835957462299044,4.150909199961461,0.7945238000247627,81.17862399999996,,,2026-08-09T15:35:23,
catboost,full,2,3,643999,161841,0.04310013811290127,0.9009509772401757,6.399913117105441,188.44218929996714,0.18523210007697344,651.5179520000002,,,2026-08-09T15:35:28,
mlp,full,2,3,643999,161841,0.048972439944984694,0.884948693079693,7.6640564024217,36.93990500003565,0.1898718000156805,316.86656,54095916000.0,,2026-08-09T15:38:37,
ridge,full,2,4,643490,162350,0.0786320177094458,0.7424695238904269,13.490409893215261,1.2528147000120953,0.13400729990098625,324.34585599999997,52122933.0,,2026-08-09T15:39:57,
