model,arm,seed,fold,n_train,n_test,mae,r2,mdape_uf_m2,fit_seconds,predict_seconds,peak_memory_mb,flops_estimate,energy_joules,started_at,notes
random_forest,full,4,2,650313,155527,0.04009588641745758,0.8749582889720152,4.51644710246385,78.92122030002065,1.0208857000106946,2295.5458559999997,,,2026-08-08T21:15:02,
lightgbm,full,4,2,650313,155527,0.04953698422524747,0.8777447794816244,7.899638815825972,2.620855399989523,0.48241120006423444,91.63571199999996,,,2026-08-08T21:16:23,
catboost,full,4,2,650313,155527,0.0436264151053866,0.8972357966723932,6.676391839204985,179.7571741999127,0.21043690002989024,685.256704,,,2026-08-08T21:16:26,
mlp,full,4,2,650313,155527,0.04992358677391025,0.8805609028277783,7.830214133505767,37.496425399906,0.18053830007556826,341.413888,60088921200.0,,2026-08-08T21:19:26,
ridge,full,4,3,641890,163950,0.07947153860881062,0.7305454837003188,13.470257619329834,1.1637730000074953,0.14373040001373738,323.538944,64189333.333333336,,2026-08-08T21:20:44,
random_forest,full,4,3,641890,163950,0.03829710339032564,0.9076002596369507,4.43989616619623,64.73114239994902,0.817244500038214,2249.7607679999996,,,2026-08-08T21:20:45,
lightgbm,full,4,3,641890,163950,0.04719435953980648,0.9039472602861847,7.8127354907732105,2.2482678999658674,0.4284516000188887,88.96921600000002,,,2026-08-08T21:21:51,
catboost,full,4,3,641890,163950,0.04208653512894095,0.9168192972257178,6.44003977612051,159.4758760998957,0.18480540008749813,661.106688,,,2026-08-08T21:21:54,
mlp,full,4,3,641890,163950,0.049108312481341794,0.892676591147945,7.611048940401992,32.882415899890475,0.19646480004303157,326.1562880000001,55074162000.0,,2026-08-08T21:24:34,
ridge,full,4,4,645266,160574,0.07608307004665332,0.741412212925241,12.882649930557626,1.1018117000348866,0.11322379997000098,335.60166399999997,64526933.333333336,,2026-08-08T21:25:48,
random_forest,full,4,4,645266,160574,0.03668204054160204,0.9075207612401234,4.413228346138668,73.25210829998832,0.7639610000187531,2258.55488,,,2026-08-08T21:25:49,
lightgbm,full,4,4,645266,160574,0.04612958785424435,0.9013900750243877,7.671564015898938,2.009560899925418,0.40144929999951273,89.32966399999998,,,2026-08-08T21:27:04,
catboost,full,4,4,645266,160574,0.041648606379080994,0.9113461345898473,6.503005174382383,151.46022350003477,0.17086700000800192,675.57376,,,2026-08-08T21:27:06,
mlp,full,4,4,645266,160574,0.04717497852678315,0.8962124639779752,7.594898934360679,39.32977770001162,0.2083066999912262,338.51801600000005,59622578400.0,,2026-08-08T21:29:38,
ridge,regime_limited,0,0,5247,560,0.07678599588376014,0.4159359175176732,11.94263739210034,0.020701400004327297,0.005494300043210387,0.07782400000002099,525033.3333333334,,2026-08-08T21:30:18,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,0,5247,560,0.07635506532540244,0.39225036946698766,13.681129657842718,0.28432889992836863,0.031528000021353364,13.33657599999998,,,2026-08-08T21:30:18,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,0,5247,560,0.08065983982020365,0.42257874024084563,14.679267419460256,0.10189350007567555,0.004534599953331053,0.23756800000001022,,,2026-08-08T21:30:18,subsampled to TabPFN's documented limit
catboost,regime_limited,0,0,5247,560,0.067093489588325,0.5829480163748268,11.457734672368804,23.31592940003611,0.0024129999801516533,3.194880000000012,,,2026-08-08T21:30:18,subsampled to TabPFN's documented limit
mlp,regime_limited,0,0,5247,560,0.0625516533140869,0.5828284291166896,9.394161091824563,0.4827945999568328,0.005561399972066283,0.040960000000040964,1038906000.0,,2026-08-08T21:30:42,subsampled to TabPFN's documented limit
ridge,regime_limited,0,1,3842,1965,0.08345549759961995,0.4327471188281111,13.804893513073097,0.01614059996791184,0.00661829998716712,0.020480000000020482,384533.3333333333,,2026-08-08T21:30:42,subsampled to TabPFN's documented limit
random_forest,regime_limited,0,1,3842,1965,0.07932122291814035,0.4369651428954535,11.26474460648674,0.1758374999044463,0.031225300044752657,2.2159359999999992,,,2026-08-08T21:30:42,subsampled to TabPFN's documented limit
lightgbm,regime_limited,0,1,3842,1965,0.05263926279328667,0.6822567258668486,6.0808814267837015,0.06158539990428835,0.007274800096638501,0.22937600000000202,,,2026-08-08T21:30:43,subsampled to TabPFN's documented limit
catboost,regime_limited,0,1,3842,1965,0.057626350536073755,0.6951369811847805,7.559563654869958,28.97786400001496,0.0048250999534502625,2.134016000000031,,,2026-08-08T21:30:43,subsampled to TabPFN's documented limit
mlp,regime_limited,0,1,3842,1965,0.11766467920373452,-0.24766592371023832,15.525535290042539,0.4056546000065282,0.007869299966841936,0.04095999999998412,735358800.0,,2026-08-08T21:31:12,subsampled to TabPFN's documented limit
tabpfn,regime_limited,0,1,3842,1965,0.0600632042763805,0.6917763151188849,8.879706567461437,1.1441075999755412,133.7786020000931,1404.80512,,,2026-08-08T21:31:12,subsampled to TabPFN's documented limit
ridge,regime_limited,0,2,4372,1435,0.10687860082157473,0.7316212873275839,28.116560331422836,0.023046699934639037,0.00863159995060414,1.0117119999999886,437533.3333333333,,2026-08-08T21:33:30,subsampled to TabPFN's documented limit
