time,actual,B0 train mean,B1 climatology,B2 smart persistence,M ridge,M gbdt,M esn
2019-06-10 14:00:00+00:00,0.23053311793214862,0.10235762977579373,0.35830858548705685,0.29097762981370967,0.2295211545457464,0.24477751111199914,0.2349792348785001
2019-06-10 15:00:00+00:00,0.15345315024232634,0.10235762977579373,0.2665663238094753,0.18918872795305644,0.15623963893018405,0.17152764834300854,0.16218415033861536
2019-06-10 16:00:00+00:00,0.08216882067851373,0.10235762977579373,0.16628982440921394,0.13413570171517955,0.08366755190996597,0.10350690655465464,0.08900893137035554
2019-06-10 17:00:00+00:00,0.03745961227786753,0.10235762977579373,0.07946438726742289,0.04565974059053048,0.018197334466689793,0.040483557094611315,0.029987381475693256
2019-06-10 18:00:00+00:00,0.010823909531502423,0.10235762977579373,0.02396705379668081,0.020976733273448327,0.017570612594364363,0.012033122596518989,0.015095747786476488
2019-06-10 19:00:00+00:00,0.0009894991922455574,0.10235762977579373,0.0017195411962930272,0.003599816922390087,0.0073451299560540195,0.001070897858127074,0.0008896474058248671
2019-06-10 20:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.002902033545446034,0.0,0.001833575742713811
2019-06-10 21:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.0,2.574538853699131e-05,0.003169067975801937
2019-06-10 22:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.006895119466870478,0.0,0.0010954728457897023
2019-06-10 23:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.007804064945339653,8.507500128505689e-06,0.0012604160557172644
2019-06-11 00:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.002523352166759349,0.00013138243103124104,0.0002079056611295066
2019-06-11 01:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.004561708931784425,0.00013138243103124104,0.0
2019-06-11 02:00:00+00:00,0.0001009611501494225,0.10235762977579373,6.568496144199837e-05,0.0,0.006602834463739993,0.00020654742924535065,0.0
2019-06-11 03:00:00+00:00,0.004664405136903319,0.10235762977579373,0.00703951671669857,0.0,0.009052430857843671,0.003539169504089414,0.004452252093242973
2019-06-11 04:00:00+00:00,0.02336241014457637,0.10235762977579373,0.04457942377535039,0.07711655353858887,0.03621162008001594,0.030287581832201822,0.041263356925165785
2019-06-11 05:00:00+00:00,0.07469105888054277,0.10235762977579373,0.1197173364315313,0.057478422696268974,0.07902420246810986,0.06298204721061443,0.07353773638590405
2019-06-11 06:00:00+00:00,0.15063403602293837,0.10235762977579373,0.22080329885701674,0.13217207231044875,0.15067267125611838,0.1396206081505103,0.13963477949485126
2019-06-11 07:00:00+00:00,0.22635489863500524,0.10235762977579373,0.31750355304606226,0.19383808863087645,0.22875131635814747,0.21007704642559535,0.22560413804539114
2019-06-11 08:00:00+00:00,0.2954729020272999,0.10235762977579373,0.398222635670937,0.27361241601757424,0.28734192365632544,0.3010709261516178,0.29256036780699674
2019-06-11 09:00:00+00:00,0.3406631128341814,0.10235762977579373,0.4502892134206254,0.3298662608772466,0.34339331195323064,0.34919080296163185,0.34473741376993355
2019-06-11 10:00:00+00:00,0.3721226072207415,0.10235762977579373,0.4794760566054036,0.34522823456050133,0.3560282143625131,0.35835315259178596,0.36106535412592944
2019-06-11 11:00:00+00:00,0.38343025603747677,0.10235762977579373,0.48449048034895875,0.391097467262125,0.3813192474456536,0.382563278088944,0.37902955369388436
2019-06-11 12:00:00+00:00,0.36887165818593004,0.10235762977579373,0.46597359482318973,0.3737358687489286,0.3665223076385319,0.38317080007815935,0.36857981603016166
2019-06-11 13:00:00+00:00,0.336018899927308,0.10235762977579373,0.4208872494494266,0.3590940137523248,0.3272812317781535,0.3313242999953842,0.32903921942952097
2019-06-11 14:00:00+00:00,0.2856998626928358,0.10235762977579373,0.35079928392506315,0.32475468789306117,0.28348960994730216,0.2832093886636525,0.2812220262009973
2019-06-11 15:00:00+00:00,0.2148049430579113,0.10235762977579373,0.26204199151298635,0.23446172976816737,0.21501937302410137,0.20698596804136854,0.21612985350771835
2019-06-11 16:00:00+00:00,0.12959373233179872,0.10235762977579373,0.16443588451646343,0.18776422460837003,0.1368061646137207,0.1400236447715512,0.1358646179223527
